Model,Accuracy,Precision,Recall,F1-Score
XGBoost,0.9922116108964545,0.9306746564727761,0.9062830122239549,0.9183168947676937
Random Forest,0.9917110155281768,0.9156486622917719,0.912470446199507,0.914056791554335
Decision Tree,0.9914388471726082,0.9329733163913596,0.8864631017656823,0.909123739262775
Logistic Regression,0.9518067604675463,0.519059205190592,0.03219477840937673,0.06062902614626753
